,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Hardware,440,0435,"0435 Ultra thin Cutting Disc, 4 Inch Super Thin Diamond Saw Blade for Cutting Porcelain Tiles, Granite Marble Ceramics (4"")",50,65,42,25,330,18,280
Hardware,1584,0452,"0452 -46pcsMetal 1/4"" Socket Set (Black, 46pcs)",1223,575,126,30,1109,18,940
Hardware,1210,0454,0454 Electric Drill Machine Tool Kit (10mm),1366,605,126,10,1089,18,923
Hardware,499,0482,"0482_Aluminium Profile Handle, 12Inch (Silver)",85,124,42,20,399,18,338
Hardware,399,0615,0615 Chromium Steel Saw 3 Edge Sharpen Teeth with Plastic Cover and Blister Packing,292,115,42,5,379,18,321
Hardware,696,0715,0715 Level 5 Protection Cut Resistant Gloves (1 pair),120,174,42,30,487,18,413
Hardware,508,0716,0716 Protective Durable Heat Resistant Welding Gloves,261,108,42,25,381,18,323
Hardware,440,0877,0877 Heavy Duty Industrial Cutter Knife 18mm,25,8,42,40,264,18,224
Hardware Fitting,299,0429,"0429 8-inch Magnetic Torpedo Level with 1 Direction Pin, 2 Vials and 360 Degree View",42,59,42,0,299,18,253
Hardware Fitting,490,0453,"0453 Tapes, Adhesives & Sealers - Rubberized Waterproof Flex Tape (Size - 7.2"") (Black)",118,98,42,25,368,18,311
Hardware Fitting,300,0457,0457 5M Pocket Measuring Tape,123,60,42,0,300,18,254
Hardware Fitting,499,1559,1559 Double Side Scale Triangle Measurement Hand Tool,237,179,42,10,449,18,381
Hardware Fitting,499,1565,1565 Professional Measuring Tape/Ruler - 30 Meter,1565,159,168,0,499,18,423
Home Decor,902,0177,0177 03D Moon Lamp India/Moon Shaped Lamp/Led Moon Lamp/Lunar Moonlight Lamp - Multi Color,583,451,84,5,857,18,726
Home Decor,485,0180,0180 Stainless Steel Electric Dhoop Dani,350,97,42,20,388,18,329
Home Decor,440,0193,0193 QuickBurn Steel Kapoor Dani Stand,110,53,42,25,330,18,280
Home Decor,360,0206,0206 Night Lamps White Flower Pot Color Changing Light & Mushrooms Light Sensor LED Decorative Night Lamp Night Lamp,120,52,42,15,306,18,259
Home Decor,596,0209,0209 Artificial Plant with Plastic Pot,801,149,84,20,477,18,404
Home Decor,528,0210,,634,132,84,15,449,18,380
Home Decor,552,0213,0213 Solar Security LED Night Light for Home Outdoor/Garden Wall (Black) (20-LED Lights),160,119,42,25,414,18,351
Home Decor,484,0259,"0259 Musical Sound Cordless Square Doorbell, 32 Melody",200,121,42,20,387,18,328
Home Decor,699,0362,0362 Air Humidifier USB 5V Bowling Bottle Led Lamp Light Air Diffuser Mist Maker Aromatherapy 150ML Ultrasonic Diffuse for SPA Home,201,330,42,10,629,18,533
Home Decor,699,0366,0366 Wood Grain Humidifier Ultrasonic Air Humidifier,220,330,42,10,629,18,533
Home Decor,699,0371,0371 Cute Beatles LED Light Humidifier Air Diffuser Purifier Atomizer Essential oil diffuser difusor de aroma mist maker fogger Gift,173,330,42,10,629,18,533
Home Decor,499,0492,0492 Multi Purpose Brick Thin Slim Bright Lens Led Light,205,110,42,20,399,18,338
Home Decor,470,0619,0619 Led Glass Cup (Rainbow Color),140,78,42,25,353,18,299
Home Decor,599,0860,0860 Plastic 2 in 1 Mirror Come Photo Frame with Led Light,764,201,84,10,539,18,457
Home Decor,520,0874,0874 Rechargeable Camping Lantern LED Solar Emergency Light Bulb,278,159,42,15,442,18,375
Home Decor,"4,999",0899,0899 Multi-Functional Inflatable Sofa Air Bed Couch,1000,1935,84,45,2749,18,2330
Home Decor,449,1136,1136 Balloon Pack for Birthday Party Decoration & Occasions (100 pcs),465,169,42,5,427,18,361
Home Decor,499,1139,1139 3 Pcs Multicolor Wooden Floral Design For Wall Art,860,159,84,5,474,18,402
Home Decor,999,1205,1205 3D Moonligt Lamp with Touch Control Adjust,816,320,84,25,749,18,635
Home Decor,499,1222,"1222  Festival Decorative - LED Tealight Candles (White, 24 Pcs)",335,240,42,0,499,18,423
Home Decor,499,1224,1224 Nano Portable Handheld USB Reusable Humidifier Sprayer,63,85,42,25,374,18,317
Home Decor,399,1226,1226 Diamond Bling Light and Room Decor and Home Decoration (17 Meters),74,110,42,10,359,18,304
Home Decor,499,1228,1228 Outdoor String Light with LED Bulbs for Outdoor Lights (25 Meters),290,139,42,15,424,18,359
Home Decor,499,1234,1234 Colour Changing Good Night Star Master Rotating Projection Night Lamp,391,239,42,0,499,18,423
Home Decor,599,1242,1242 Automatic Spray Sanitizer Air freshener Humidifier,42,197,42,15,509,18,431
Home Decor,499,1248,1248 Mini Polar Bear Shaped Cool Mist Portable Humidifier,279,177,42,10,449,18,381
Home Decor,499,1255,"1255 Solar Lights for Garden LED Security Lamp for Home, Outdoors Pathways",330,179,42,10,449,18,381
Home Decor,899,1277,1277 Anti Crack Silicon Gel Heel Moisturizing Socks for Foot Care Men Women (Loose Pack),232,239,42,35,584,18,495
Home Decor,999,1321,1321 Portable Moonlight Shaped Air Humidifier/Freshner,520,393,84,20,799,18,677
Home Decor,999,1363,1363 Wireless Bluetooth Sensor 12W Music Multicolor LED Bulb with Remote Controller,276,238,42,40,599,18,508
Home Decor,999,2125,2125 Peacock Design Glass with Handle and Handicraft Serving Tray Set,1188,432,126,10,899,18,762
Home Decor,599,2559,2559 Pot Stand for Home Garden Balcony Living Room Decor,2028,165,210,0,599,18,508
Home Decor,499,3105,3105 Acrylic Wall Mount Shelf Rack Kitchen and Bathroom Accessories (8 X 5 Inch),400,175,42,10,449,18,381
Home Improvement,350,0174,0174 Toothpaste Dispenser & Tooth Brush Holder,269,65,42,10,315,18,267
Home Improvement,325,0188,0188 1000W-220V Water Heater Portable Electric Immersion Element Boiler,171,65,42,5,309,18,262
Home Improvement,792,0192,0192 Cloth Organizer Pouch Laundry Zipper Bags (6 pcs),523,198,84,30,554,18,470
Home Improvement,345,0198,0198 Wall Mounted Mop & Broom Hanger Holder (1-Layer),,59,42,10,311,18,263
Home Improvement,788,0199,0199 5-Layer Multipurpose Wall Mounted Organizer Mop And Broom Holder,529,189,84,30,552,18,467
Home Improvement,380,0200,0200 Toothpaste Dispenser & Tooth Brush with Toothbrush,260,59,42,15,323,18,274
Home Improvement,552,0201,0201  Dual Bladeless Mini Air Conditioner,418,139,42,25,414,18,351
Home Improvement,694,0219,"0219 Cushion Seat Flex Pillow, Gel Orthopedic Seat Cushion Pad (Egg Sitter)",1394,275,126,5,659,18,559
Home Improvement,599,0223,0223 -2 in 1 Plastic Cleaning Brush Toilet Brush with Holder,1125,186,126,5,569,18,482
Home Improvement,760,0229,"0229 -8-Claw Octopus Hanging Dryer 16 Clothes pegs, Simple to fold up and Put Away",894,130,84,35,494,18,419
Home Improvement,435,0230,0230 Stainless Steel Cloth Hanger (12 pcs),427,85,42,20,348,18,295
Home Improvement,435,0236,0236 5-Compartments Socks/Handkerchief/Underwear Storage Box Socks Drawer Closet Organizer Storage Boxes (pack of 4),972,80,84,10,392,18,332
Home Improvement,684,0240,0240 3 Layer Mop and Broom Holder,340.2,171,42,30,479,18,406
Home Improvement,772,0243,"0243 4-Layer Mop and Broom Holder, Garden Tool Organizer, Multipurpose Wall Mounted",405,193,42,35,502,18,425
Home Improvement,990,0251,0251 Electric Mini Handy Heater Plug-In Wall (400w),538,375,84,20,792,18,671
Home Improvement,599,0317,"0317 Flute Shape Stainless Steel Key Holder Stand ( Chrome Antique Finish, 9"" X 2"", Silver)",101,105,42,35,389,18,330
Home Improvement,999,0520,0520 Stackable 5 Layer Folding Shoe Rack,1588,377,168,10,899,18,762
Home Improvement,660,0612,0612 Textured Anti Skid Drawer Mat (45 x 500 cm),941,220,84,15,561,18,475
Home Improvement,440,0613,0613 Textured Anti Skid Drawer Mat (45 x 150 cm),288,90,42,15,374,18,317
Home Improvement,624,0692,0692 Multi Purpose Wall Mount Shelf - 10 x 5.5 inch (H-102),378,208,42,20,499,18,423
Home Improvement,728,0693,0693 Multi Purpose Wall Mount Shelf - 12 x 5.5 inch (H-102),385,182,42,30,510,18,432
Home Improvement,696,0694,0694 Multi Purpose Corner Wall Mount Shelf - 8 x 8 Inch  (H-101),729,174,84,25,522,18,442
Home Improvement,615,0695,0695 Multi Purpose Corner Wall Mount Shelf - 10 x 10 Inch  (H-101),505,205,84,10,554,18,469
