CATEGORY,MRP,product code,product name,DISCOUNT,GST,selling rate excl gst,hsn,
Travel,784,0514,0514 Three Layers Neck Traction Pillow,35,18,432,401610,
Automotive,430,0515,0515 Strong Steel Air Pump,20,18,292,841410,
Travel,499,0518,0518 Pocket Folding Wine Bottle Umbrella,10,18,381,660199,
Home Improvement,999,0520,0520 Stackable 5 Layer Folding Shoe Rack,10,18,762,392410,
Toys For Kids,484,0523,0523 Gold Plated Poker Playing Cards (Golden),15,18,349,940440,
Automotive,786,0526,"0526 High Pressure Deluxe/Strong Foot Pump For Bicycle, Car, Bike",20,18,533,841410,
"Beauty, Health & Personal Care",432,0530,0530 Professional Ceramic Plate Hair Styler Straightener,15,18,311,851631,
Travel,596,0540,0540 New B Portable Water Bottle,30,18,354,392410,
Kitchen,485,0542,"0542 Gardening Tools - Hand Cultivator, Big Trowel, Garden Fork (Set of 3)",25,18,308,820790,
Automotive,408,0544,0544 Aluminum Mini Bicycle Air Pump (Multicolor),5,18,328,851440,
Travel,693,0548,0548 Black Digital Portable Luggage Scale with LCD Backlight (50 kg),20,18,470,690919,
Kitchen,608,0549,"0549 Digital Portable Hook Type Weighing Scale (50 kg, Multicolor)",25,18,386,690919,
Travel,924,0550,0550 Portable Handheld Garment Steamer,10,18,705,851610,
Automotive,636,0551,0551 -12V Car Charging Electric Kettle Mug (Silver),25,18,404,851610,
Stationery,499,0560,0560 Gold Plated Professional Cloth Cutting Scissor,10,18,381,821300,
Stationery,440,0568,0568 Hot Melt Glue Gun (60 watts),15,18,317,842489,
Power & Hand tools,440,0573,"0573 Fibreglass Nail Hammer(450 GMS / 13"")",5,18,354,820590,
Automotive,499,0574,"0574 Fast Air Inflation/Compressor for Automobile, Tyres, Sporting, Goods (250 PSI)",0,18,423,830230,
Stationery,436,0575,0575 Glue Gun (40 watt),5,18,351,851610,
Sports,792,0576,0576 Multi-Function Collapsible  Self Defense Stick Extended,25,18,503,732393,
Stationery,440,0577,0577 Imported Mini Portable Pen Light LED Flashlight Pocket Medical Torch Light,20,18,298,960810,
Garden,428,0582,0582 Garden Shears Pruners Scissor,10,18,326,732393,
Garden,435,0590,0590 Durable Hose Nozzle Water Lever Spray Gun,25,18,276,392690,
Mobile Accessories,436,0591,0591 Silicone Sucker Mobile Holder,15,18,314,392620,
Garden,819,0605,0605 -3 Way Soil Meter (pH Testing Meter),25,18,521,902780,
"Kitchen Storage, Container & Rack",748,0607,0607 Plastic Sink Dish Drainer Drying Rack,15,18,539,392410,
Home Improvement,440,0613,0613 Textured Anti Skid Drawer Mat (45 x 150 cm),15,18,317,392410,
Hardware,399,0615,0615 Chromium Steel Saw 3 Edge Sharpen Teeth with Plastic Cover and Blister Packing,5,18,321,820290,
Home Decor,470,0619,0619 Led Glass Cup (Rainbow Color),25,18,299,392410,
Mobile Accessories,470,0622,0622 Mobile Phone Metal Stand (Silver),25,18,299,732393,
Kitchen Tools,380,0630,"0630 Stylish look Plastic Juicy Glass, Transparent Glasses Set 300ml (6pcs)",10,18,290,392410,
Kitchen,420,0634,0634 Smart Candy Box,20,18,285,392410,
Mobile Accessories,325,0636,0636 Gorilla Tripod Fully Flexible Tripod (6 Inch),5,18,262,900610,
Garden,520,0640,0640 Garden Pressure Sprayer Bottle 1.5 Litre Manual Sprayer,15,18,375,392410,
Garden,693,0641,0641 -600g Hatchet Axe Fiberglass Body Rubberized Handle,20,18,470,820590,
Kitchen,700,0643,"0643 Multipurpose (MH-200) LCD Screen Digital Electronic Portable Mini Pocket Scale(Weighing Scale), 200g",30,18,415,842310,
Kitchen,360,0649,0649 stainless steel Bicycle shape Pizza cutter,10,18,275,392410,
Home Improvement,448,0697,0697 Multi Purpose Tooth Brush Holder/Tooth Paste Stand   (H-107),5,18,361,392410,
Home Improvement,485,0698,0698 Kitchen/Bathroom Square Napkin Toilet Paper Holder - 7 inch (H-110),25,18,308,392410,
Home Improvement,528,0699,0699 Kitchen/Bathroom Square Napkin Toilet Paper Holder - 14 inch,10,18,403,392410,
Home Improvement,528,0700,0700 Kitchen/Bathroom Round Napkin Toilet Paper Holder - 14 inch,15,18,380,392410,
Home Improvement,744,0702,0702 Multi Purpose Wall Mount Stand for Set top box,15,18,536,852990,
Mobile Accessories,340,0703,0703 Multi Purpose Wall Mount Mobile Stand (H-105),5,18,274,392690,
Kitchen,802,0705,0705 Multi-function Hanging Window Sill Drying Rack Easy Folding Drying Rack Balcony Retractable Drying Shoe Rack,5,18,646,392410,
Cleaning Supplies,600,0707,0708 Lombard Soft Side Cabin Luggage Black 20 Inch Trolley Bag Briefcase,35,18,331,392690,
Automotive,"1,199",0709,"0709 Dual-Cylinder Foot Pump, Portable Floor Bike Pump, 150PSI Air Pump",15,18,864,841320,
Hardware,696,0715,0715 Level 5 Protection Cut Resistant Gloves (1 pair),30,18,413,401590,
Hardware,508,0716,0716 Protective Durable Heat Resistant Welding Gloves,25,18,323,401590,
Garden,299,0718,0718 Garden Genie Gloves,0,18,253,401590,
Travel,499,0726,0726 Smart Vacuum Insulated Water Bottle with LED Temperature Display,0,18,423,392610,
Kitchen,897,0732,0732 Multipurpose Unbreakable Plastic Matka Stand/Pot Stand,60,18,304,392410,
Kitchen,720,0740,0740 Stainless Steel Puri Press/Puri Machine/Papad Maker Machine,10,18,549,732393,
