prod code,product name,,Variant Grams,Variant Price,Variant Compare At Price,Image Src,Cost per item,SHIPPING,GST,TOTAL,PAYOUT,TRAN CHRG,PROFIT,PURCHASE RATE,MRP,DISCOUNT,SELLING RATE
0827,Cookie Cutter Stainless Steel Cookie Cutter with Shape Heart Round Star and Flower (4 Pieces),kitchen,167,68,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_ff66afff-77ca-45bb-9dbc-c369d322e4a2.jpg?v=1619126048,34,42,14,90,80,24,87,281,323,15,275
0353,2 in 1 Anti Snoring and Air Purifier Nose Clip for Prevent Snoring and Comfortable Sleep,"Beauty, Health & Personal Care",21,68,298,https://cdn.shopify.com/s/files/1/1916/9825/products/0353.jpg?v=1618531613,34,42,14,90,80,24,87,281,323,15,275
1121,Love Shape Self Adhesive Hooks,Home Improvement,168,68,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_75ac91a4-52f5-4104-a25b-a83aa6bd8877.jpg?v=1620939702,34,42,14,90,80,24,94,288,331,15,282
1520,48mm Hand Tape Dispenser Packing Packaging Boxes Roll Roller Cutter,Office Supply,252,68,298,https://cdn.shopify.com/s/files/1/1916/9825/products/H14ff3267e01243cb9c2940715447ea5cM_1024x1024_8025fc1e-63ab-47a9-95f9-444cf87bdba3.jpg?v=1606577644,34,42,14,90,80,24,103,297,342,15,291
0831,Stainless Steal Pizza Cutter and for Sandwiches Pastry,Kitchen,64,70,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1image_b0d33351-bab3-4fda-b44f-96117711d449.jpg?v=1640684676,35,42,14,91,80,24,87,282,325,15,276
1509,Professional Long-range Durable Clear Binocular for Multipurpose Uses,Sports,120,70,298,https://cdn.shopify.com/s/files/1/1916/9825/products/Binocular_6x30_319b3afa-ae38-4f13-a8a3-975b9e97d679.jpg?v=1606577447,35,42,14,91,80,24,87,282,325,15,276
1115,Silicone Collapsible Funnel Kitchen for Flexible Extension,Kitchen,50,70,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1115.jpg?v=1639216286,35,42,14,91,80,24,87,282,325,15,276
0670,Plastic Transparent Disposable Clear Gloves (White) (100Pc),"Beauty, Health & Personal Care",162,70,298,https://cdn.shopify.com/s/files/1/1916/9825/products/0670.jpg?v=1619125775,35,42,14,91,80,24,94,289,333,15,283
2222,Multipurpose Fruit Vegetable Strainer Colander Bowl with Handle,"Kitchen Storage, Container & Rack",1510,70,298,https://cdn.shopify.com/s/files/1/1916/9825/products/22222.jpg?v=1612489189,35,168,37,240,80,24,110,454,522,15,444
1507,UNO Pixar  Anniversary Card Game with 112 Cards,Toys For Kids,175,72,298,https://cdn.shopify.com/s/files/1/1916/9825/products/812Yr9WChrL._SL1500.jpg?v=1606577410,36,42,14,92,80,24,88,284,326,15,277
2130,Multipurpose Stainless Steel Wire Egg Slicer,Kitchen,120,72,298,https://cdn.shopify.com/s/files/1/1916/9825/products/e252fc23-6e80-4fa3-ae2c-7d2c30979ff0.jpg?v=1608717166,36,42,14,92,80,24,88,284,326,15,277
1554,Acrylic Plastic Fibre Sheets Cutter Hook Knife Blade,Hardware,66,72,298,https://cdn.shopify.com/s/files/1/1916/9825/products/0111111.jpg?v=1609470078,36,42,14,92,80,24,88,284,326,15,277
1487,Wall Mounted Storage Case with Mobile Phone Charging Holder,Mobile Accessories,410,72,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_cec42eb4-cf9f-45b3-97aa-7780d8ccbcce.jpg?v=1626974874,36,42,14,92,80,24,137,333,383,15,326
1148,Plastic Ice Candy Maker Kulfi Maker Moulds Set with 6 Cups (Multicolour),Kitchen,538,72,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1148SKUCODE.jpg?v=1620321990,36,84,22,142,80,24,95,341,392,15,333
1076,Silicon Bar chocolate Baking Mould of 24-Cavity,Kitchen,120,74,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1b433bfa-60bc-4ad0-bc81-b9ae20b84156.jpg?v=1609469981,37,42,14,93,80,24,88,285,327,15,278
1097,Leaf Shape Soap Box Self Draining Bathroom Soap Holder,Home Improvement,304,74,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1097SKUCODE.jpg?v=1614900081,37,42,14,93,80,24,167,364,419,15,356
0411,3 Bubble Mini Pocket Portable Level Ruler Torpedo,Hardware,105,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODEcopy_8f8b7d9f-b70f-46db-8910-8f4df55ed9d7.jpg?v=1618531769,39,42,15,96,80,24,88,288,331,15,282
1161,Silicone Mini Choco Bar Mould - 12 Cavity,Kitchen,82,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1161SKUCODE.jpg?v=1617332356,39,42,15,96,80,24,88,288,331,15,282
1542,Combination Stone Sharpener for Both Knives and Tool,Hardware,400,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/300-300_d4acb10b-5190-4720-b31f-559896433c0f.jpg?v=1607644714,39,42,15,96,80,24,89,289,333,15,283
2164,Manual Kitchen Knife Sharpener for Sharpening Stainless Steel,Kitchen,312,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/559dce01c60585604bac05bc-large.jpg?v=1621546682,39,42,15,96,80,24,92,292,335,15,285
1516,Wire Brush Set Scratch Brush Set for Cleaning Slag Rust and Dust Curved Handle,Home Improvement,336,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/06_50c92560-5542-4c09-9b7b-68db2941f2dc.jpg?v=1606577584,39,42,15,96,80,24,96,296,341,15,290
1523,4 in 1 Laser Pointer Torch LED Lights with Hook,Toys For Kids,72,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1632131.jpg?v=1606577687,39,42,15,96,80,24,99,299,343,15,292
1600,Silicone Sink Handle Extender for Children-Baby,"Kitchen Storage, Container & Rack",90,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1600SKUCODE_8859e56a-37b3-4f11-af84-f53bce417277.jpg?v=1626365310,39,42,15,96,80,24,100,300,345,15,293
2299,Jar/Container with Apple Shape for Kitchen Storage (1500ML),"Kitchen Storage, Container & Rack",548,78,298,https://cdn.shopify.com/s/files/1/1916/9825/products/2300SKUCODE_59211186-e6e5-4a33-96d4-5b9ee3d19891.jpg?v=1616712261,39,84,22,145,80,24,579,828,952,15,809
2140,Stainless Steel Apple Cutter Slicer with 8 Blades and Handle,Kitchen,101,80,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_5179e8e2-c519-4069-8f5c-4278df891579.jpg?v=1606579484,40,42,15,97,80,24,88,289,333,15,283
2335,"Stainless Steel Manual Mixi, Hand Blender",Kitchen Tools,407,80,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_678a8c27-e923-49b1-99ca-e15427fd733c.jpg?v=1619126363,40,42,15,97,80,24,88,289,333,15,283
1099,L Plastic Multipurpose Kitchen Bathroom Shelf Wall Holder Storage Rack (Loose Pack),Home Improvement,700,80,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1099L.jpg?v=1634118743,40,84,22,146,80,24,96,346,398,15,338
2002,Steel Cap Plastic water Dumbbells Bottle,"Kitchen Storage, Container & Rack",289,84,298,https://cdn.shopify.com/s/files/1/1916/9825/products/2_32760054-4bad-4c75-8d51-9438266bb63d.jpg?v=1606577868,42,42,15,99,80,24,89,292,335,15,285
1408,Quick Turban Hair-Drying Absorbent Microfiber Towel/Dry Shower Caps (1 Pc),"Beauty, Health & Personal Care",318,84,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1408.jpg?v=1620322142,42,42,15,99,80,24,89,292,335,15,285
2398,Plastic Handmade Katori Serving/Snacks Bowl (Set of 6),"Kitchen Storage, Container & Rack",298,84,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1_e76b0037-3265-47da-87ae-e61956cc452c.jpg?v=1622733321,42,42,15,99,80,24,90,293,337,15,286
2235,Silver Plated Pooja Thali,Home Decor,587,84,298,https://cdn.shopify.com/s/files/1/1916/9825/products/2235SKUCODE.jpg?v=1613085831,42,84,23,149,80,24,96,349,419,20,335
2171,Plastic Egg Carry Tray Holder Carrier Storage Box,"Kitchen Storage, Container & Rack",424,86,298,https://cdn.shopify.com/s/files/1/1916/9825/products/01_58918d42-0381-4632-8947-2706384ab54d.jpg?v=1630602548,43,42,15,100,80,24,89,293,351,20,281
1390,Plastic Clothes Hanger (Set of 6 Pieces),Home Improvement,790,86,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1390.jpg?v=1618532285,43,84,23,150,80,24,96,350,420,20,336
2145,"Plastic Revolving Multi Functional Rice, Vegetable Fruit Wash Basket Bowl (Multi Colour)","Kitchen Storage, Container & Rack",2436,86,298,https://cdn.shopify.com/s/files/1/1916/9825/products/16_bb5d3db6-71e7-4662-bbdc-cb6b4c5c484f.jpg?v=1620322225,43,210,46,299,80,24,119,522,627,20,501
2212,Round Self Designed Table Tea Coaster Set - 5 Pcs,Kitchen,317,86,298,https://cdn.shopify.com/s/files/1/1916/9825/products/2212SKUCODE.jpg?v=1611889269,43,42,15,100,80,24,410,614,737,20,590
1292,2 In 1 Double Hockey Stick Shape Toilet Brush,Cleaning Supplies,360,87,298,https://cdn.shopify.com/s/files/1/1916/9825/products/27ce54d9-09bd-426c-933d-56195ca31ef2.jpg?v=1616577259,43.5,42,15,101,80,24,167,372,447,20,357
3676,Mason Jar with Airtight lids (1000 ml) (multicolour),"Kitchen Storage, Container & Rack",400,88,298,https://cdn.shopify.com/s/files/1/1916/9825/products/3676SKUCODE.jpg?v=1614288775,44,42,15,101,80,24,89,294,353,20,282
1604,Stainless Steel Towel Hanger for Bathroom/Towel Rod/Bar/Bathroom Accessories,Kitchen,250,88,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1604.jpg?v=1617924739,44,42,15,101,80,24,89,294,353,20,282
2333,Kitchen Storage Container for Multipurpose Use (1000ml),"Kitchen Storage, Container & Rack",466,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_40c022fd-d273-4695-aef0-497b626d47fd.jpg?v=1619126349,45,42,16,103,80,24,89,296,355,20,284
1317,3 in 1 Shaker Sipper Glass with Detachable Storage Container (300Ml),"Kitchen Storage, Container & Rack",202,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE317.jpg?v=1615511294,45,42,16,103,80,24,89,296,355,20,284
1153,Cake Decorating Nozzle with Piping Bag (Pack of 6),Kitchen,241,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1153SKUCODE.jpg?v=1616711808,45,42,16,103,80,24,89,296,355,20,284
2322,"Kitchenware Steel PP Chakla/Patla, Unbreakable Roti-Maker",Kitchen,885,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/23223.jpg?v=1618532486,45,84,23,152,80,24,97,353,423,20,339
1694,Best Heavy Weight Cleaning Plastic Bat/Peddle,Home Improvement,575,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-2_2fd53af3-6c10-43b6-8745-fdcda601c2fd.jpg?v=1627574026,45,84,23,152,80,24,97,353,423,20,339
1216,Portable Hot Water Bag for Babies (Small),"Beauty, Health & Personal Care",37,90,298,https://cdn.shopify.com/s/files/1/1916/9825/products/121601.jpg?v=1629391814,45,42,16,103,80,24,309,516,620,20,496
0852,Airtight Kitchen Container with Flip Lock for Multipurpose Use (400 ml),"Kitchen Storage, Container & Rack",127,94,298,https://cdn.shopify.com/s/files/1/1916/9825/products/400ml.jpg?v=1607045537,47,42,16,105,80,24,90,299,358,20,287
0801,Metal Stand Holder for Mobile Phone and Tablet,Mobile Accessories,209,96,298,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_429710e0-7ba1-4cce-8689-cd4b40d941c7.jpg?v=1628068491,48,42,16,106,80,24,90,300,360,20,288
1275,Anti-Scratch Bump Shift Knob Protective Cover Case,Automotive,63,96,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1275Anti-ScratchBumpShiftKnobProtectiveCoverCase.jpg?v=1606577248,48,42,16,106,80,24,90,300,360,20,288
1162,Silicone Chocolate Chess Shaped Mould - 16 Cavity,Kitchen,90,96,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1162SKUCODE.jpg?v=1617332369,48,42,16,106,80,24,90,300,360,20,288
1345,"Multipurpose Wooden Clips /Cloth Pegs (Small, 50 Pcs)",Home Improvement,40,96,298,https://cdn.shopify.com/s/files/1/1916/9825/products/1345SKUCODE.jpg?v=1612488954,48,42,16,106,80,24,90,300,360,20,288
